id,main_character,alts,points_earned,points_spent,points_adjusted,points_current
4488,Malazoukas,[],6,0,0,6
3252,Maldoro,[],30,0,0,30
3867,Maldoru,[],3,0,0,3
2360,Maldory,"[(4440, 'Bubblebee')]",686,428,8,266
3740,Malelvan,[],76,0,11,87
314,Malikail,[],200,92,-24,84
4607,Malisande,[],0,0,0,0
2569,Malorne,[],6,0,0,6
4734,Maniak,[],6,0,0,6
773,Manwich,"[(2316, 'Scarro')]",15,12,13,16
4473,Marahna,[],1,0,0,1
3518,Maraschino,[],4,0,0,4
2898,Maratith,"[(5039, 'Banksouth'), (4656, 'Ganoosh'), (3731, 'Nolby'), (3880, 'Volcania')]",7639,9928,2770,481
4767,Marceriny,[],177,60,9,126
315,Marduran,"[(2539, 'Mardru')]",30,125,125,30
3538,Marfim,"[(3540, 'Caim'), (4766, 'Mesmeraiser'), (4161, 'Smallprobleme')]",2717,2702,9,24
3569,Margok,"[(4846, 'Knukles'), (4884, 'Krypts')]",505,204,9,310
4480,Margrim,[],1,0,0,1
4507,Marisol,"[(4508, 'Carnita'), (4509, 'Estebahn'), (4510, 'Molina'), (5051, 'Posole'), (4575, 'Tatyana')]",2721,2460,399,660
4784,Marto,"[(4785, 'PlumBottom')]",6,0,9,15
2649,Masong,"[(3619, 'Adaboi')]",1504,1293,9,220
5004,Masoz,[],6,0,0,6
316,Masrad,[],0,0,13,13
3850,Matah,[],3,0,0,3
317,Maxegrowth,"[(2576, 'Maxeheals'), (2524, 'Meschevous')]",141,46,30,125
4135,Maxpower,[],0,0,0,0
2352,Maxur,[],129,0,0,129
519,Mchammer,[],0,0,0,0
5032,Meadden,[],12,0,0,12
3922,Meade,"[(4313, 'Madamrez'), (4431, 'Thraash'), (4301, 'Ylleks')]",1274,806,50,518
3202,Meanjoe,[],63,0,9,72
4936,Media,"[(4937, 'Mastah')]",1,0,9,10
4798,Meee,[],15,0,0,15
3768,Meeuh,[],33,201,0,-168
2571,Megamann,[],12,0,0,12
318,Megamien,[],0,6,21,15
319,Meglatank,[],33,20,44,57
8,Meledus,"[(771, 'Exodas'), (2220, 'Heirose'), (2618, 'Lilisa'), (651, 'Percept')]",2916,4108,1424,232
3806,Mellowtron,[],6,0,0,6
605,Melnek,"[(3638, 'Chesterr'), (194, 'Flowerr'), (3620, 'Sherrman')]",236,474,506,268
561,Memorex,[],0,0,0,0
320,Menthe,[],0,40,50,10
4786,Meowfast,[],14,0,0,14
700,Meowpal,[],568,363,147,352
3798,Meowsmerize,[],77,0,0,77
2672,Merdar,"[(2671, 'Corrompu'), (3506, 'Lizor'), (4296, 'Snotrout'), (4297, 'Stabbystabstabs')]",2907,2942,143,108
321,Merlwood,"[(2496, 'Benhart')]",309,280,16,45
3295,Merrian,"[(3330, 'Amory'), (3329, 'Ketheryn'), (3296, 'Merimac')]",929,595,0,334
4017,Merron,[],0,0,0,0
323,Metra,[],0,25,81,56
3599,Metrev,[],79,0,9,88
324,Mewpal,[],58,0,35,93
4128,Mewtilator,[],16,0,0,16
3903,Mewzz,[],20,0,18,38
623,Mezevile,[],0,0,0,0
3229,Mezits,[],3,0,0,3
5003,Mezso,[],6,0,0,6
2730,Mhmm,[],16,0,0,16
4254,Micell,[],3,0,0,3
325,Midgett,[],21,3,13,31
3435,Miiind,[],0,0,9,9
4185,Miintier,"[(3181, 'Miinty')]",125,116,6,15
326,Mikrah,"[(5034, 'Kead')]",18,10,33,41
328,Mingas,"[(728, 'Bahngu'), (2207, 'Djordi'), (656, 'Lagrima'), (3119, 'Lamari'), (732, 'Potatoball'), (727, 'Tsika')]",854,1609,784,29
3459,Minmin,"[(3460, 'Berrydew')]",0,0,9,9
2753,Mirklace,"[(3630, 'Grimsoul'), (3631, 'Halfdan'), (2755, 'Ironfury'), (2754, 'Tandalas')]",87,0,9,96
4713,Missdazzle,[],3,0,0,3
4074,Misslefist,[],294,0,9,303
3027,Misspeleld,[],33,60,0,-27
329,Mistari,"[(2810, 'Drothina'), (2811, 'Floxie'), (657, 'Jaxie'), (2812, 'Tonksi')]",255,450,195,0
4810,Misterclaws,[],72,0,0,72
4717,Mistlenote,[],3,0,0,3
4864,Mistystar,"[(4917, 'Kelethos')]",465,351,9,123
2460,Mithael,"[(4515, 'Biggyy'), (404, 'Sampsen'), (693, 'Siinister'), (2650, 'Xanthiss')]",9070,10852,1965,183
330,Mitock,[],0,0,65,65
4635,Mixa,"[(4637, 'Bind'), (4636, 'Cancel'), (4823, 'Erke'), (4588, 'Listeria'), (4587, 'Motto')]",2343,1617,180,906
3450,Mixtress,[],0,0,0,0
2534,Modestie,[],9,0,0,9
3963,Moejo,"[(4247, 'Dilpikel'), (3122, 'Hakur'), (3964, 'Typpin')]",321,47,15,289
2430,Mokassa,[],162,0,0,162
2513,Momba,"[(3272, 'Brothermomba'), (3271, 'Zylaw')]",1170,1097,-73,0
592,Mongosmash,[],0,0,0,0
3759,Monno Tone,[],0,0,0,0
4368,Monulph,"[(4419, 'Bigh'), (4155, 'Boros'), (4800, 'Cherrystarburst'), (4418, 'Maynguene'), (4140, 'Obito'), (4401, 'Obitwo'), (4543, 'Undwen')]",7331,7428,414,317
331,Moogied,[],0,9,30,21
2612,Moolag,[],3,0,0,3
4944,Moonwood,[],0,0,0,0
4059,Morbo,"[(4098, 'Morby'), (4097, 'Peteage'), (4099, 'Reigning')]",166,0,9,175
3472,Mordakk,"[(2970, 'Gardakan'), (4434, 'Guerison')]",1398,1418,46,26
4264,Morgana,"[(4263, 'Farath')]",103,85,11,29
332,Morkai,[],0,155,190,35
333,Morthalis,"[(659, 'Absu'), (4922, 'Fluellen'), (3297, 'Noroxus')]",107,151,166,122
4946,Morvexna,[],12,0,0,12
3467,Motet,[],51,0,9,60
716,Mournelithe,[],0,0,0,0
4044,Mrsclaws,[],3,0,3,6
4605,Mrsmac,[],0,0,0,0
4960,Mrwarlord,"[(4962, 'Mrcoth'), (4967, 'Mrikky'), (3756, 'Mrlich'), (4964, 'Mrshamtastik'), (4961, 'Mrtwig'), (4963, 'Mrwiz'), (4957, 'Theranger')]",210,0,36,246
3323,Muchpunches,[],3,0,0,3
334,Mudwart,[],20,0,58,78
4953,Muncle,"[(5030, 'Lupinal')]",201,94,18,125
2577,Mushrewm,[],3,0,0,3
337,Mycele,"[(3405, 'Myckell')]",264,330,79,13
661,Myller,"[(3160, 'Coznester'), (2733, 'Logjammer'), (338, 'Myllerlyght'), (2734, 'Myllerlyte')]",1559,916,28,671
3733,Mynec,[],3,0,0,3
339,Myrish,[],0,0,8,8
2394,Mysticalkitten,[],7,0,0,7
4286,myxmaster,[],0,0,0,0
340,Nahgash,[],0,0,8,8
4167,Naldrin,[],3,0,0,3
4138,Nanala,[],0,0,0,0
4632,Nanje,"[(4869, 'Kikurame'), (4838, 'Mezzydavis')]",105,45,9,69
341,Nareth,"[(2315, 'Kroger'), (2386, 'Lovetrain')]",29,27,50,52
3431,Narienna,"[(3432, 'Narienne')]",0,0,9,9
2806,Narklo,"[(2886, 'Glulaen'), (2805, 'Yilamin')]",671,559,3,115
4036,Nazzlefunnel,[],15,0,0,15
678,Neadah,[],0,0,0,0
3926,Neayriel,[],33,0,9,42
768,Necran,[],417,372,14,59
3092,Nectara,"[(3258, 'Darkcoin'), (3257, 'Kyloben')]",44,0,0,44
4737,Needlenuggets,[],0,0,0,0
342,Nekrolord,[],0,0,52,52
2966,Nervaal,"[(4124, 'Algernop'), (3337, 'Boutonniere'), (3443, 'Gatoor'), (4703, 'Jumpalot'), (4585, 'Nerguul'), (3046, 'Puhnnee'), (3047, 'Quul'), (3444, 'Thraan'), (3034, 'Vithuud')]",8110,8100,105,115
4514,Nextday,"[(4455, 'Gorthor'), (4403, 'Gorthorrr'), (4306, 'Horra'), (4453, 'Shortportz')]",998,962,33,69
344,Ngar,"[(749, 'Capacious'), (537, 'Cartunes'), (747, 'Indolent'), (757, 'Kgar'), (750, 'Macktastic'), (753, 'Pimpn'), (755, 'Porthoar'), (752, 'Revolting'), (758, 'Shameow'), (664, 'Touncy'), (743, 'Utdidar'), (751, 'Wazup'), (2664, 'Ygar')]",2207,2863,1039,383
3486,Nietche,"[(3488, 'Cognoscenti'), (3489, 'Insouciance'), (3487, 'Kittenpants'), (3490, 'Recrudescent')]",206,0,0,206
3614,Nikkay,"[(2704, 'Garrgamonk')]",75,0,15,90
3298,Nikkers,[],74,0,3,77
345,Niloh,[],0,0,33,33
346,Nimbleswift,"[(3065, 'Gong'), (3378, 'Manaplox'), (665, 'Rezolution')]",2097,3035,1154,216
2807,Nimthir,"[(2809, 'Aranos'), (2808, 'Kethari')]",27,0,0,27
347,Ninarya,"[(666, 'Hinarya'), (2745, 'Sinarya')]",2446,2853,725,318
4612,Ninladarea,[],0,0,0,0
4382,Nirvhana,"[(4383, 'Khristos')]",336,163,9,182
3644,Nishoba,[],3,0,0,3
3362,Nituwakan,[],0,0,0,0
4396,Noca,[],57,0,0,57
4217,Nomsy,"[(4221, 'Necronomz'), (4731, 'Nomsey'), (4111, 'Nomz'), (4220, 'Nomzy'), (4380, 'Noomzy'), (4593, 'Omnoms')]",7127,6491,98,734
3804,Noops,"[(3908, 'Malekh'), (3909, 'Qaeva')]",294,255,0,39
3981,Norington,[],5,0,0,5
4130,Noslagoth,[],3,0,0,3
3224,Notabard,[],12,0,0,12
348,Nothsa,[],0,0,9,9
4350,Novabeast,[],6,0,9,15
30,Nowon,"[(442, 'Tacotruk'), (2303, 'Terribul')]",102,275,262,89
4483,Noxinn,[],3,0,0,3
699,Nukk,[],0,0,0,0
2731,Numbaaz,[],0,0,0,0
38,Numbaz,"[(2759, 'Dirtiest'), (2493, 'Drimor'), (82, 'Kandias'), (538, 'Kvarien'), (81, 'Minuuar'), (2424, 'Rolli'), (2950, 'Salelor'), (3207, 'Typpo')]",3737,4472,798,63
4619,Nurrse,[],0,0,0,0
2603,Nutritional,[],3,0,0,3
79,Nyamaar,"[(5045, 'Ahma'), (5046, 'Exelon'), (5041, 'Nyagain'), (5042, 'Nyvz'), (5044, 'Ouie'), (5040, 'Rohboh'), (78, 'Zumbutu'), (5043, 'Zuumz')]",4407,5978,2078,507
2923,Nyghthawk,"[(2924, 'Agynt'), (2925, 'Earthyn'), (4415, 'Leeerooy'), (2927, 'Leeeroy'), (3025, 'Lilbert'), (4260, 'Stacys'), (2926, 'Toonee'), (4194, 'Waltir')]",1359,1035,36,360
624,Nylisa,[],0,0,0,0
3745,Nyquist,"[(3747, 'Defknot'), (3746, 'Glokta'), (3748, 'Nilnin'), (3749, 'Philos')]",757,190,13,580
3697,Oakum,"[(3696, 'Binnkin')]",0,0,0,0
349,Occulta,[],0,0,5,5
4947,Oconnor,[],6,0,0,6
2981,Ofkred,"[(3417, 'Averli'), (2566, 'Bohgan'), (638, 'Duckwalk'), (286, 'Kred'), (2583, 'Mylozen')]",3871,4931,1231,171
3732,Oggah,[],57,12,9,54
350,Oggork,[],0,3,18,15
4657,Okcoolman,[],0,0,0,0
4910,Okeh,[],36,0,15,51
4018,Okine,[],63,0,0,63
351,Oldaddy,"[(2384, 'Kazzador'), (738, 'Nelana'), (2383, 'Willace'), (667, 'Xasaniz')]",522,509,236,249
2543,Oldengray,[],28,3,0,25
777,Olve,[],2,0,0,2
2882,Oneeyd,"[(2540, 'Clorx'), (3141, 'Heelem'), (2757, 'Klrox'), (4024, 'Neeknocker'), (4060, 'Tinypick')]",1394,870,31,555
4096,Oomp,[],6,0,0,6
4037,Oordoor,[],15,0,0,15
352,Orchard,"[(2740, 'Papa')]",3,4,16,15
353,Orissa,"[(2920, 'Bagelbite'), (4537, 'Cothkitty'), (2495, 'Grimsoar'), (3947, 'Ramptank'), (772, 'Softpaws')]",7675,7322,464,817
4159,Orogo,[],10,0,0,10
3521,Orwellius,[],4,0,0,4
354,Osdm,[],0,0,7,7
2717,Ovaflo,[],598,486,0,112
4949,Ovio,[],1,0,0,1
3100,Owdat,"[(3124, 'Decomposing'), (3469, 'Discombobulator'), (3105, 'Floppydisc'), (3106, 'Netharu'), (3140, 'Nilsa'), (3104, 'Oodat'), (3454, 'Theodian')]",8685,9158,506,33
355,Pahan,[],0,24,186,162
3713,Pahnzer,"[(3716, 'Drzhivago'), (3718, 'Gixum'), (3717, 'Lightangel'), (3722, 'Maad'), (3715, 'Nnab'), (3714, 'Regel'), (3719, 'Soras')]",0,0,9,9
356,Pahon,[],0,3,50,47
3456,Pales,[],10,0,0,10
357,Pallius,"[(670, 'Gnooguey'), (3236, 'Lesqq')]",1331,129,414,1616
358,Pallm,[],0,55,55,0
4190,Panchovilla,[],69,0,15,84
3851,Pandorrin,[],3,0,0,3
4336,Paniny,[],3,0,0,3
4200,Panniq,"[(3990, 'Bawon'), (4295, 'Dezah Mator'), (4215, 'Hmath'), (4294, 'Rhianah Mator')]",1675,1762,152,65
4801,Panoram,"[(4802, 'Pandemick'), (4803, 'Panickatk')]",300,90,13,223
4615,Papias,[],0,0,0,0
3457,Parliement,"[(4692, 'Bessarion'), (3702, 'Bloor'), (3701, 'Broadview'), (3905, 'Kipling'), (4513, 'Ossington'), (3458, 'Parliament'), (3675, 'Password'), (3700, 'Sherbourne'), (3703, 'Spadina'), (4203, 'Yorkdale')]",8716,9950,1987,753
